City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,High Rock,BS,78.82,broken clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
5,Oistins,BB,79.12,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
10,Rikitea,PF,76.01,scattered clouds,-23.1203,-134.9692,People ThankYou
17,Atuona,PF,78.78,light rain,-9.8,-139.0333,Villa Enata
33,Bengkulu,ID,81.37,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
43,Boa Vista,BR,75.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
48,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
63,Butaritari,KI,82.35,broken clouds,3.0707,172.7902,Isles Sunset Lodge
64,Bubaque,GW,77.9,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
65,Berbera,SO,87.39,broken clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
75,Waingapu,ID,85.3,few clouds,-9.6567,120.2641,Pondok Wisata Elim
76,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
81,San Policarpo,PH,83.95,overcast clouds,12.1791,125.5072,Agapita M. Nicart
82,Zinder,NE,82.13,broken clouds,13.8072,8.9881,Hotel de Ville
84,Tikrit,IQ,75.42,overcast clouds,34.6071,43.6782,عماره العبطه
86,Chengde,CN,84.63,scattered clouds,40.9725,117.9361,Super 8 Hotel
88,Tahoua,NE,87.22,overcast clouds,14.8888,5.2692,Bungalows Guesthouse
90,Arlit,NE,83.48,overcast clouds,18.7369,7.3853,Case de Passage De la Prefecture
92,Ugoofaaru,MV,83.35,broken clouds,5.6667,73.0,Ungoofaaru Inn
98,Fare,PF,80.76,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
100,Alofi,NU,80.49,clear sky,-19.0595,-169.9187,Taloa Heights
106,North Myrtle Beach,US,76.12,broken clouds,33.816,-78.68,Avista Resort
111,Nanakuli,US,82.35,clear sky,21.3906,-158.1547,Camp Pālehua
115,Mazagao,BR,77.05,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
120,Hilo,US,82.27,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
123,Barinas,VE,84.24,scattered clouds,8.6226,-70.2075,Hotel Mastranto Suite
124,Mount Isa,AU,78.57,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
126,Auki,SB,83.8,scattered clouds,-8.7676,160.7034,Auki Motel
128,Buala,SB,85.42,light rain,-8.145,159.5921,Maringe Lagoon Lodge
134,Tarakan,ID,78.3,light rain,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
137,Moussoro,TD,85.68,broken clouds,13.6408,16.4901,Hôtel Salama
138,Vanimo,PG,85.89,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
141,Faanui,PF,81.12,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
143,Mackay,AU,75.69,broken clouds,-21.15,149.2,International Lodge Motel
146,Atambua,ID,83.73,few clouds,-9.1061,124.8925,Kost Alfa Flat
153,Saint George,US,84.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
154,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
155,Shiyan,CN,77.5,clear sky,32.6475,110.7781,Fenghuang Garden Holiday Hotel
167,Tautira,PF,78.94,scattered clouds,-17.7333,-149.15,Pension Oaoa
170,Yatou,CN,77.97,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
171,Kiunga,PG,84.65,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
172,Hithadhoo,MV,83.39,overcast clouds,-0.6,73.0833,Scoop Guest House
175,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
183,Labuhan,ID,84.65,broken clouds,-6.8844,112.2051,DoubleFAG
187,Tumaco,CO,76.55,moderate rain,1.7986,-78.8156,Unión Victoria
192,Naze,JP,76.12,light rain,28.3667,129.4833,Shishime Hotel
205,Cabo San Lucas,MX,77.31,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
206,Ambulu,ID,82.62,few clouds,-8.345,113.6058,Hotel Ambulu Jember
208,Monrovia,LR,75.07,heavy intensity rain,6.3005,-10.7969,Sunset Inn
210,Rabaul,PG,83.71,scattered clouds,-4.1967,152.1721,Rabaul Hotel
212,Cotonou,BJ,78.78,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
218,Mitha Tiwana,PK,87.85,overcast clouds,32.2486,72.1108,Canal Rest House
219,Vao,NC,75.52,clear sky,-22.6667,167.4833,Hotel Kou-Bugny
221,Miri,MY,87.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
233,Mae Sai,TH,79.63,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
236,Urucui,BR,78.51,broken clouds,-7.2294,-44.5561,Hotel Premium Piauí
238,Marsh Harbour,BS,78.39,clear sky,26.5412,-77.0636,Abaco Beach Resort
242,Hobyo,SO,80.31,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
244,Porto Novo,BJ,78.62,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
249,Ibra,OM,82.13,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
251,Luwuk,ID,84.76,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
254,Macapa,BR,76.98,scattered clouds,0.0389,-51.0664,Atalanta Hotel
258,Filadelfia,US,75.97,broken clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
264,Victoria,HK,80.19,overcast clouds,22.2855,114.1577,Mini Central
268,Port Hedland,AU,84.25,broken clouds,-20.3167,118.5667,The Esplanade Hotel
275,Banda Aceh,ID,83.77,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
281,Kuala Terengganu,MY,84.15,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
287,Manokwari,ID,84.38,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
290,Sinnamary,GF,76.5,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
291,Jacqueville,CI,75.06,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
