City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,High Rock,BS,26.6208,-78.2833,78.82,76,53,15.12,broken clouds
1,Mesyagutovo,RU,55.5303,58.2528,39.4,93,100,3.02,light rain
2,Tiksi,RU,71.6872,128.8694,32.0,90,7,3.98,clear sky
3,Puerto Ayora,EC,-0.7393,-90.3518,71.83,91,34,6.96,scattered clouds
4,Airai,TL,-8.9266,125.4092,72.36,48,9,5.08,clear sky
5,Oistins,BB,13.0667,-59.5333,79.12,77,98,12.5,overcast clouds
6,Vestmanna,FO,62.1564,-7.1664,45.52,93,75,2.3,broken clouds
7,Saskylakh,RU,71.9167,114.0833,33.15,96,100,10.22,overcast clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,29.84,72,80,10.63,broken clouds
9,Jamestown,US,42.097,-79.2353,50.05,97,40,0.0,scattered clouds
10,Rikitea,PF,-23.1203,-134.9692,76.01,76,49,17.27,scattered clouds
11,Berlevag,NO,70.8578,29.0864,40.95,75,100,4.61,overcast clouds
12,Quesnel,CA,52.9999,-122.5029,66.36,40,80,3.47,broken clouds
13,Iqaluit,CA,63.7506,-68.5145,22.73,85,100,19.57,light snow
14,Hualmay,PE,-11.0964,-77.6139,64.27,87,26,6.55,scattered clouds
15,Saint-Philippe,RE,-21.3585,55.7679,69.39,70,39,8.81,scattered clouds
16,Punta Arenas,CL,-53.15,-70.9167,30.31,93,40,5.75,scattered clouds
17,Atuona,PF,-9.8,-139.0333,78.78,75,32,18.81,light rain
18,Pisco,PE,-13.7,-76.2167,63.01,88,100,4.61,mist
19,Jaguaruna,BR,-28.615,-49.0256,57.34,82,100,2.75,overcast clouds
20,Cape Town,ZA,-33.9258,18.4232,61.38,86,56,3.0,broken clouds
21,Bluff,NZ,-46.6,168.3333,50.81,77,99,29.53,overcast clouds
22,Bredasdorp,ZA,-34.5322,20.0403,54.14,90,21,4.47,few clouds
23,Narsaq,GL,60.9167,-46.05,37.62,94,97,7.27,light rain
24,Albany,US,42.6001,-73.9662,64.22,85,98,1.01,overcast clouds
25,Ushuaia,AR,-54.8,-68.3,33.46,80,0,4.61,clear sky
26,Hasaki,JP,35.7333,140.8333,70.29,78,75,11.79,broken clouds
27,Ulkan,RU,57.243,107.3223,58.46,53,37,3.6,scattered clouds
28,Upernavik,GL,72.7868,-56.1549,31.77,82,99,21.65,overcast clouds
29,Sur,OM,22.5667,59.5289,90.7,43,6,9.6,clear sky
30,Provideniya,RU,64.3833,-173.3,53.71,54,0,8.99,clear sky
31,Hammerfest,NO,70.6634,23.6821,45.05,70,75,0.0,broken clouds
32,Hobart,AU,-42.8794,147.3294,58.26,76,20,10.36,few clouds
33,Bengkulu,ID,-3.8004,102.2655,81.37,76,89,1.48,overcast clouds
34,Yellowknife,CA,62.456,-114.3525,36.12,64,100,9.22,light snow
35,Constitucion,CL,-35.3333,-72.4167,51.8,93,100,10.87,overcast clouds
36,Clyde River,CA,70.4692,-68.5914,17.83,93,100,16.11,light snow
37,Hermanus,ZA,-34.4187,19.2345,58.6,82,52,7.38,broken clouds
38,Arraial Do Cabo,BR,-22.9661,-42.0278,71.06,72,7,14.83,clear sky
39,Busselton,AU,-33.65,115.3333,63.57,70,89,18.25,light rain
